Animal No	Parents	DOB	Location	Cage No	Animal No in Cage	Sex	Purpose	Surgery date	Injection	Comments	Pain model	Sac date	Section date	Mounted	Cryoprotect
1	WT12-L56	4/17/19	5558C	NP-1	1	M	CPP practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	"Handling starts 19/8/2019. Animal no. 2, 3 and 5 FDIC after surgery"		10/25/19			
2	WT12-L56	4/17/19	5558C	NP-1	2	M	CPP practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	"Handling starts 19/8/2019. Animal no. 2, 3 and 5 FDIC after surgery"		9/8/19			
3	WT12-L56	4/17/19	5558C	NP-1	3	M	CPP practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	"Handling starts 19/8/2019. Animal no. 2, 3 and 5 FDIC after surgery"		9/8/19			
4	WT12-L56	4/17/19	5558C	NP-1	4	M	CPP practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	"Handling starts 19/8/2019. Animal no. 2, 3 and 5 FDIC after surgery"		10/25/19			
5	WT12-L56	4/17/19	5558C	NP-1	5	M	CPP practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	"Handling starts 19/8/2019. Animal no. 2, 3 and 5 FDIC after surgery"		9/8/19			
															
6	WT5-L57	4/18/19	4440A	11	1	M	Opto -> Self-stim	7/2/19	AAV5-CAMKII-ChR2-YFP	Experiment completed in Lex lab	CFA	9/30/19		Y	Y
7	WT5-L57	4/18/19	4440A	11	2	M	Self-Stim	7/2/19	AAV5-CAMKII-ChR2-YFP	Have to repurpose due to change in project direction	CFA				
															
8	WT(L50)-L69	5/13/19	4440A	12	1	M	Self-Stim	7/19/19	AAV5-CAMKII-ChR2-YFP	Have to repurpose due to change in project direction. Headcap came out		8/15/19			
9	WT(L50)-L69	5/13/19	4440A			M			Died during surgery	FDIC					
10	WT(L50)-L69	5/13/19	4440A			M			Died during surgery	FDIC					
															
11	WTL68	5/10/19	4440A & 5558C	12	2	M	Self-Stim	7/29/19	AAV5-CAMKII-ChR2-YFP	Have to repurpose due to change in project direction. FDIC after 2 days after FR2		9/23/19			
12	WTL68	5/10/19	4440A & 5558C	12	3	M	HG & VF	7/29/19	AAV5-CAMKII-ChR2-YFP	Have to repurpose due to change in project direction		10/25/19			
13	WTL68	5/10/19	4440A & 5558C	NP-2	1	M	CPP Practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	Handling starts 19/8/2019		10/25/19		Y	
14	WTL68	5/10/19	4440A & 5558C	NP-2	2	M	CPP Practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	Handling starts 19/8/2019		10/25/19		Y	
15	WTL68	5/10/19	4440A & 5558C	NP-2	3	M	CPP Practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	Handling starts 19/8/2019		10/25/19		Y	
															
16	WTL88	6/13/19	4440A	13	1	M	HG & VF			Na•ve.		10/9/19			
17	WTL88	6/13/19	4440A	13	2	M	HG & VF			Na•ve.		10/9/19			
															
18	WTL86	6/17/19	B408	14	1	M	Fiber Photometry	9/6/19	AAV9-CAMKII-GCAMP6f		CFA	12/19/19			
19	WTL86	6/17/19	B408	14	2	M	Fiber Photometry	9/6/19	AAV9-CAMKII-GCAMP6f		CFA	12/19/19			
20	WTL86	6/17/19	B408	15	3	M	Self-Stim	9/13/19	AAV5-CAMKII-ChR2-YFP	FDIC		10/7/19			
21	WTL86	6/17/19	B408	15	4	M	Self-Stim	9/13/19	AAV5-CAMKII-ChR2-YFP	FDIC		10/7/19			
															
22	WTL89	6/20/19	4440A	16	1	M	Self-Stim	9/13/19	AAV5-CAMKII-ChR2-YFP			12/19/19			
23	WTL89	6/20/19	4440A	16	2	M	Self-Stim	9/13/19	AAV5-CAMKII-ChR2-YFP	FDIC		10/7/19			
24	WTL89	6/20/19	4440A	16	3	M	Self-Stim	9/13/19	AAV5-CAMKII-ChR2-YFP			12/19/19			
															
23	W103	7/24/19	5558C	18	1	M	Self-Stim	10/4/19	AAV5-CAMKII-ChR2-YFP			10/7/19			
24	W103	7/24/19	5558C	18	2	M	Self-Stim	10/4/19	AAV5-CAMKII-ChR2-YFP	FDIC		2/17/20			
25	W103	7/24/19	5558C	18	3	M	Self-Stim	10/4/19	AAV5-CAMKII-ChR2-YFP			2/17/20			
															
26	WT104	8/5/19	5558C	17	1	M	Self-Stim	9/30/19	AAV5-CAMKII-ChR2-YFP	FDIC post-viral injection		10/2/19			
28	WT104	8/5/19	5558C	17	2	M	Self-Stim	9/30/19	AAV5-CAMKII-ChR2-YFP	FDIC post-viral injection		10/2/19			
29	WT104	8/5/19	5558C	17	3	M	Self-Stim	9/30/19	AAV5-CAMKII-ChR2-YFP	FDIC post-viral injection		10/2/19			
30	WT104	8/5/19	5558C	17	4	M	Self-Stim	9/30/19	AAV5-CAMKII-ChR2-YFP			2/17/20			
31	WT104	8/5/19	5558C	17	5	M	Self-Stim	9/30/19	AAV5-CAMKII-ChR2-YFP	FDIC post-viral injection		10/2/19			
32			5558C	17	6	M	Self-Stim	10/4/19	AAV5-CAMKII-ChR2-YFP	Hannah's animal		2/17/20			
															
33	WT107	8/9/19	5558C	20	1	M	Fiber Photometry	10/13/19	AAV9-CAMKII-GCAMP6f		CFA	10/15/19			
34	WT107	8/9/19	5558C	20	2	M	Fiber Photometry	10/13/19	AAV9-CAMKII-GCAMP6f	FDIC post-viral injection		12/19/19			
35	WT107	8/9/19	5558C	21	3	M	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP			2/17/20			
36	WT107	8/9/19	5558C	21	4	M	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP			2/17/20			
															
37	WT107	8/22/19	5558C	22	1	F	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP			2/17/20			
38	WT107	8/22/19	5558C	22	2	F	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP	FDIC post-viral injection		10/16/19			
39	WT107	8/22/19	5558C	22	3	F	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP			2/17/20			
															
40	WT114	8/22/19	5558C	23	1	M	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP			2/17/20			
41	WT114	8/22/19	5558C	23	2	M	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP	FDIC post-viral injection		10/16/19			
