Animal No,Parents,DOB,Location,Cage No,Animal No,Sex,Purpose,Surgery date,Injection,Comments,,,Pain model,Sac date,Section date,Mounted,Cryoprotect
1,WT12-L56,4/17/19,5558C,NP-1,1,M,CPP practice / retro virus,9/6/19,retro AAV2-CAD-GFP and AAV-hSYN-mCherry,"Handling starts 19/8/2019. Animal no. 2, 3 and 5 FDIC after surgery",,,,10/25/19,,,
2,,,,,2,M,,,,,,,,9/8/19,,,
3,,,,,3,M,,,,,,,,,,,
4,,,,,4,M,,,,,,,,10/25/19,,,
5,,,,,5,M,,,,,,,,9/8/19,,,
,,,,,,,,,,,,,,,,,
6,WT5-L57,4/18/19,4440A,11,1,M,Opto -> Self-stim,7/2/19,AAV5-CAMKII-ChR2-YFP,Experiment completed in Lex lab,,,CFA,9/30/19,,Y,Y
7,,,,11,2,M,Self-Stim,7/2/19,AAV5-CAMKII-ChR2-YFP,Have to repurpose due to change in project direction,,,,,,,
,,,,,,,,,,,,,,,,,
8,WT(L50)-L69,5/13/19,4440A,12,1,M,Self-Stim,7/19/19,AAV5-CAMKII-ChR2-YFP,Have to repurpose due to change in project direction. Headcap came out,,,,8/15/19,,,
9,,,,,,M,,,Died during surgery,,,,,,,,
10,,,,,,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11,WTL68,5/10/19,4440A & 5558C,12,2,M,Self-Stim,7/29/19,AAV5-CAMKII-ChR2-YFP,Have to repurpose due to change in project direction. FDIC after 2 days after FR2,,,,9/23/19,,,
12,,,,,3,M,HG & VF,,,Have to repurpose due to change in project direction,,,,10/25/19,,,
13,,,,NP-2,1,M,CPP Practice / retro virus,9/6/19,retro AAV2-CAD-GFP and AAV-hSYN-mCherry,Handling starts 19/8/2019,,,,10/25/19,,Y,
14,,,,,2,M,,,,,,,,,,Y,
15,,,,,3,M,,,,,,,,,,Y,
,,,,,,,,,,,,,,,,,
16,WTL88,6/13/19,4440A,13,1,M,HG & VF,,,Naïve.,,,,10/9/19,,,
