Animal No	Parents	DOB	Location	Cage No	Animal No	Sex	Purpose	Surgery date	Injection	Comments			Pain model	Sac date	Section date	Mounted	Cryoprotect	Is Archived
1	Enk49		5558C	Enk1	1	M	"Stimulation in dHPC, FP in Nac"	3/9/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC					4/14/21	5/4/21	Y	Y	Y
2	Enk49		5558C	Enk1	2	M	"Stimulation in dHPC, FP in Nac"	3/9/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC						5/4/21	Y	Y	Y
3	Enk49		5558C	Enk1	3	M	"Stimulation in dHPC, FP in Nac"	3/9/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC	FDIC				-	-	-	-	Y
4	Enk49		5558C	Enk1	4	M	"Stimulation in dHPC, FP in Nac"	3/9/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC					4/14/21	4/22/21	Y	Y	Y
5	Enk49		5558C	Enk1	5	M	"Stimulation in dHPC, FP in Nac"	3/9/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC						5/4/21	Y	Y	Y
6	Enk49		5558C	Enk1	6	M	"Stimulation in dHPC, FP in Nac"	3/9/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC						4/22/21	Y	Y	Y
7	Enk49		5558C	Enk1	7	M	"Stimulation in dHPC, FP in Nac"	3/9/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC						4/22/21	Y	Y	Y
																		
8			5558C	Enk2	1	M	"Stimulation in dHPC, FP in Nac"	4/23/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC					7/10/21	6/14/21	6/18/21	Y	Y
9			5558C	Enk3	2	M	"Stimulation in dHPC, FP in Nac"	4/23/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC						6/14/21	6/18/21	Y	Y
10			5558C	Enk4	3	M	"Stimulation in dHPC, FP in Nac"	4/23/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC						6/14/21	6/18/21	Y	Y
																		
11	Enk60	6/1/21	5558C	Enk3	1	M	"Stimulation in dHPC, FP in Nac"	7/19/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC					Y				Y
12	Enk60	6/1/21	5558C	Enk3	2	M	"Stimulation in dHPC, FP in Nac"	7/19/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC	FDIC			-	-	-	-	-	Y
13	Enk60	6/1/21	5558C	Enk3	3	M	"Stimulation in dHPC, FP in Nac"	7/19/21	AAV-CaMKII-eYFP in the dHPC and AAV-Syn-GCAMP7c in NAC					Y				Y
																		
14	EC L54	2/18/21	5558C	Enk4	1	F	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/15/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID# 2523			ENK+CNO	Y				Y
15	EC L55	3/15/21	5558C	Enk5	1	F	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/15/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2616			WT+CNO	Y				Y
16	EC L55	3/15/21	5558C	Enk5	2	F	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/15/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2615			ENK+SAL	Y				Y
17	EC L55	3/15/21	5558C	Enk6	1	M	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/15/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2613			ENK+SAL	Y				Y
18	EC L55	3/15/21	5558C	Enk6	2	M	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/15/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2612 FDIC			-	-	-	-	-	Y
19	EC L55	3/15/21	5558C	Enk6	3	M	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/15/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2611			ENK+CNO	Y				Y
20	EC L55	3/15/21	5558C	Enk6	4	M	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/15/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2614			WT+SAL	Y				Y
21	EC L56	3/29/21	5558C	Enk7	1	F	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/15/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2664			ENK+CNO	Y				Y
22	EC L56	3/29/21	5558C	Enk7	2	F	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/15/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2665			WT+CNO	Y				Y
23	EC L57	4/14/21	5558C	Enk8	1	M	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/15/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2793			WT+CNO	Y				Y
24	EC L57	4/14/21	5558C	Enk8	2	M	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/15/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2794			WT+SAL	Y				Y
																		
25	EC L59	5/10/21	5558C	Enk9	1	F	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/29/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2886			WT+SAL	Y				Y
26	EC L59	5/10/21	5558C	Enk9	2	F	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/29/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2885			ENK+SAL	Y				Y
27	EC L58	4/23/21	5558C	Enk9	3	M	"RTPT stim in the dHPC and GiDREAADS in the NAc, cre-dependent"	7/29/21	Bilateral NAc AAV5.hSYN.hM4Di.mCherry; rAAV5.CaMKII.ChR2.eYFP in the dHPC	ID#2813			ENK+CNO	Y				Y
