Animal No	Parents	DOB	Location	9 weeks @	Cage No	Animal No	Sex	Purpose	Surgery date	Injection	Comments	Pain model	Sac date	Section date	Mounted	Cryoprotect	Is Archived
1	WT12-L56	4/17/19	5558C	6/19/19	NP-1	1	M	CPP practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	"Handling starts 19/8/2019. Animal no. 2, 3 and 5 FDIC after surgery"		10/25/19				Y
2	WT12-L56	4/17/19	5558C	6/19/19	NP-1	2	M						9/8/19				Y
3	WT12-L56	4/17/19	5558C	6/19/19	NP-1	3	M										Y
4	WT12-L56	4/17/19	5558C	6/19/19	NP-1	4	M						10/25/19				Y
5	WT12-L56	4/17/19	5558C	6/19/19	NP-1	5	M						9/8/19				Y
																	
6	WT5-L57	4/18/19	4440A	6/20/19	11	1	M	Opto -> Self-stim	7/2/19	AAV5-CAMKII-ChR2-YFP	Experiment completed in Lex lab	CFA	9/30/19		Y	Y	Y
7	WT5-L57	4/18/19	4440A	6/20/19	11	2	M	Self-Stim	7/2/19	AAV5-CAMKII-ChR2-YFP	Have to repurpose due to change in project direction						Y
																	
8	WT(L50)-L69	5/13/19	4440A	7/20/19	12	1	M	Self-Stim	7/19/19	AAV5-CAMKII-ChR2-YFP	Have to repurpose due to change in project direction. Headcap came out		8/15/19				Y
9	WT(L50)-L69	5/13/19	4440A	7/20/19	12	1	M			Died during surgery							Y
10	WT(L50)-L69	5/13/19	4440A	7/20/19	12	1	M										Y
																	
11	WTL68	5/10/19	4440A & 5558C	7/23/19	12	2	M	Self-Stim	7/29/19	AAV5-CAMKII-ChR2-YFP	Have to repurpose due to change in project direction. FDIC after 2 days after FR2		9/23/19				Y
12	WTL68	5/10/19	4440A & 5558C	7/23/19	12	3	M	HG & VF			Have to repurpose due to change in project direction		10/25/19				Y
13	WTL68	5/10/19	4440A & 5558C	7/23/19	NP-2	1	M	CPP Practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	Handling starts 19/8/2019		10/25/19		Y		Y
14	WTL68	5/10/19	4440A & 5558C	7/23/19	NP-2	2	M	CPP Practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	Handling starts 19/8/2019		10/25/19		Y		Y
15	WTL68	5/10/19	4440A & 5558C	7/23/19	NP-2	3	M	CPP Practice / retro virus	9/6/19	retro AAV2-CAD-GFP and AAV-hSYN-mCherry	Handling starts 19/8/2019		10/25/19		Y		Y
																	
16	WTL88	6/13/19	4440A	8/15/19	13	1	M	HG & VF			Na•ve.		10/9/19				Y
17	WTL88	6/13/19	4440A	8/15/19	13	2	M	HG & VF			Na•ve.						Y
																	
18	WTL86	6/17/19	B408	8/19/19	14	1	M	Fiber Photometry	9/6/19	AAV9-CAMKII-GCAMP6f		CFA	12/19/19				Y
19	WTL86	6/17/19	B408	8/19/19	14	2	M	Fiber Photometry	9/6/19	AAV9-CAMKII-GCAMP6f		CFA					Y
20	WTL86	6/17/19	B408	8/19/19	15	3	M	Self-Stim	9/13/19	AAV5-CAMKII-ChR2-YFP	FDIC		10/7/19				Y
21	WTL86	6/17/19	B408	8/19/19	15	4	M	Self-Stim	9/13/19	AAV5-CAMKII-ChR2-YFP	FDIC						Y
																	
22	WTL89	6/20/19	4440A	8/22/19	16	1	M	Self-Stim	9/13/19	AAV5-CAMKII-ChR2-YFP			12/19/19				Y
23	WTL89	6/20/19	4440A	8/22/19	16	2	M				FDIC		10/7/19				Y
24	WTL89	6/20/19	4440A	8/22/19	16	3	M						12/19/19				Y
																	
23	W103	7/24/19	5558C	9/4/19	18	1	M	Self-Stim	10/4/19	AAV5-CAMKII-ChR2-YFP	FDIC		10/7/19				Y
24	W103	7/24/19	5558C	9/4/19	18	2	M						2/17/20				Y
25	W103	7/24/19	5558C	9/4/19	18	3	M						2/17/20				Y
																	
26	WT104	8/5/19	5558C	10/2/19	17	1	M	Self-Stim	9/30/19	AAV5-CAMKII-ChR2-YFP	FDIC post-viral injection		10/2/19				Y
28	WT104	8/5/19	5558C	10/2/19	17	2	M										Y
29	WT104	8/5/19	5558C	10/2/19	17	3	M										Y
30	WT104	8/5/19	5558C	10/2/19	17	4	M						2/17/20				Y
31	WT104	8/5/19	5558C	10/2/19	17	5	M				FDIC post-viral injection		10/2/19				Y
32	WT104	8/5/19	5558C	10/2/19	17	6	M		10/4/19		Hannah's animal		2/17/20				Y
																	
33	WT107	8/9/19	5558C	10/11/19	20	1	M	Fiber Photometry	10/13/19	AAV9-CAMKII-GCAMP6f		CFA	10/15/19				Y
34	WT107	8/9/19	5558C	10/11/19	20	2	M	Fiber Photometry	10/13/19	AAV9-CAMKII-GCAMP6f	FDIC post-viral injection		12/19/19				Y
35	WT107	8/9/19	5558C	10/11/19	21	3	M	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP			2/17/20				Y
36	WT107	8/9/19	5558C	10/11/19	21	4	M	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP			2/17/20				Y
																	
37	WT107	8/22/19	5558C	10/24/19	22	1	F	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP			2/17/20				Y
38	WT107	8/22/19	5558C	10/24/19	22	2	F	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP	FDIC post-viral injection		10/16/19				Y
39	WT107	8/22/19	5558C	10/24/19	22	3	F	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP			2/17/20				Y
																	
40	WT114	8/22/19	5558C	10/24/19	23	1	M	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP			2/17/20				Y
41	WT114	8/22/19	5558C	10/24/19	23	2	M	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP	FDIC post-viral injection		10/16/19				Y
42	WT114	8/22/19	5558C	10/24/19	23	3	M	Self-Stim	10/13/19	AAV5-CAMKII-ChR2-YFP			2/17/20				Y
43	WT114	8/22/19	5558C	10/24/19		4	M	Fiber Photometry	10/13/19	AAV9-CAMKII-GCAMP6f		Saline	12/19/19				Y
																	
44	WT118	9/3/19	B408	6 weeks @ 15/10/19	24	1	M	Fiber Photometry	11/4/19	AAV9-CAMKII-GCAMP6f	FDIC post-viral injection						Y
45	WT118	9/3/19	B408	6 weeks @ 15/10/19	24	2	M	Fiber Photometry	11/4/19	AAV9-CAMKII-GCAMP6f		CFA	12/19/19				Y
46	WT118	9/3/19	B408	6 weeks @ 15/10/19	24	3	M	Fiber Photometry	11/4/19	AAV9-CAMKII-GCAMP6f		Saline					Y
47	WT118	9/3/19	B408	6 weeks @ 15/10/19	24	4	M	Fiber Photometry	11/4/19	AAV9-CAMKII-GCAMP6f	Sac for extra						Y
48	WT118	9/3/19	B408	6 weeks @ 15/10/19	24	5	M	Fiber Photometry	11/4/19	AAV9-CAMKII-GCAMP6f	Sac for extra						Y
																	
49	JAX		5558C	6 weeks @ 16/12/19	25	1	M	Fiber Photometry	12/16/19	AAV9-CAMKII-GCAMP6f		CFA	3/9/20			Y	Y
50	JAX		5558C	6 weeks @ 16/12/19	25	2	M	Fiber Photometry	12/16/19	AAV9-CAMKII-GCAMP6f		CFA				Y	Y
51	JAX		5558C	6 weeks @ 16/12/19	25	3	M	Fiber Photometry	12/16/19	AAV9-CAMKII-GCAMP6f		Saline				Y	Y
52	JAX		5558C	6 weeks @ 16/12/19	25	4	M	Fiber Photometry	12/16/19	AAV9-CAMKII-GCAMP6f		Saline					Y
																	
53	JAX		5558C	6 weeks @ 16/12/19	26	1	M	Fiber Photometry	12/16/19	AAV-CAMKII-GCAMP6f	FDIC post-viral injection		12/17/19				Y
54	JAX		5558C	6 weeks @ 16/12/19	26	2	M	Fiber Photometry	12/16/19	AAV-CAMKII-GCAMP6f		CFA	3/9/20				Y
55	JAX		5558C	6 weeks @ 16/12/19	26	1(R)	M	Fiber Photometry	12/16/19	AAV-CAMKII-GCAMP6f		Saline					Y
																	
56	JAX		5558C	6 weeks @ 16/12/19	27	1	M	Self Stim	12/16/19	AAV-CAMKII-eYFP			3/9/20				Y
57	JAX		5558C	6 weeks @ 16/12/19	27	2	M	Self Stim	12/16/19	AAV-CAMKII-eYFP			3/9/20				Y
58	JAX		5558C	6 weeks @ 16/12/19	27	3	M	Self Stim	12/16/19	AAV-CAMKII-eYFP			3/9/20				Y
59	JAX		5558C	6 weeks @ 16/12/19	27	4	M	Self Stim	12/16/19	AAV-CAMKII-eYFP			3/9/20				Y
60	JAX		5558C	6 weeks @ 16/12/19	27	5	M	Self Stim	12/16/19	AAV-CAMKII-eYFP	FDIC post-viral injection		3/9/20				Y
61	JAX		5558C	6 weeks @ 16/12/19	27	6	M	Self Stim	12/16/19	AAV-CAMKII-eYFP			3/9/20				Y
																	
62	JAX		5558C	6 weeks @ 16/12/19	28	1	M	Self Stim	12/16/19	AAV-CAMKII-CHR2-eYFP			3/9/20				Y
